新系统供应商编码,_month,一级分类,下单金额,占比
V1407156,2016-03,五金电气,25.0,0.009394964299135663
V1407156,2016-03,服务类,2636.0,0.9906050357008643
V1407157,2016-04,五金电气,2142.5,0.06141308865556215
V1407157,2016-04,办公,1176.0,0.03370912124104602
V1407157,2016-04,印刷,1206.5,0.03458337991268879
V1407157,2016-04,工程电器,468.0,0.01341485437143668
V1407157,2016-04,建材,375.0,0.010749082028394776
V1407157,2016-04,服务用品,9665.5,0.2770540062545325
V1407157,2016-04,服务类,7019.8,0.20121708272780173
V1407157,2016-04,消防安防,858.0,0.024593899680967247
V1407157,2016-04,运营电器,1530.0,0.043856254675850685
V1407157,2016-04,鞋服配饰,410.0,0.011752329684378289
V1407157,2016-04,食品饮料,10035.4,0.28765690076734113
V1407161,2016-02,服务类,68816.1,1.0
V1407181,2017-06,五金电气,750.0,0.03672689878066696
V1407181,2017-06,服务类,19671.0,0.9632731012193331
V1407182,2016-03,服务类,17315.61,1.0
V1407182,2017-06,服务类,49484.57,1.0
V1407184,2016-03,五金电气,799174.26,0.7655000505656271
V1407184,2016-03,建材,244815.56,0.23449994943437283
V1407184,2016-12,五金电气,29890.0,1.0
V1407184,2017-03,五金电气,24313.0,0.47679093208871803
V1407184,2017-03,建材,26680.0,0.523209067911282
V1407184,2017-09,五金电气,57686.25,0.46654265697503966
V1407184,2017-09,建材,65960.0,0.5334573430249603
V1407184,2018-03,五金电气,7750.25,0.34832192896709024
V1407184,2018-03,建材,14500.0,0.6516780710329098
V1407188,2016-10,服务类,36638.17,1.0
V1407192,2016-08,五金电气,160.0,0.005527534028881365
V1407192,2016-08,服务类,28786.0,0.9944724659711186
V1407199,2016-02,食品饮料,7996.8,1.0
V1407209,2017-12,服务用品,18309.0,1.0
V1407215,2016-02,工程电器,337020.0,1.0
V1407215,2016-03,工程电器,1001066.0,1.0
V1407215,2016-11,工程电器,259410.0,1.0
V1407215,2017-03,工程电器,588820.0,1.0
V1407215,2017-12,工程电器,421590.0,1.0
V1407219,2016-03,建材,16425.0,1.0
V1407219,2016-05,建材,56865.0,1.0
V1407223,2016-12,五金电气,4956.8,1.0
V1407224,2017-10,五金电气,14373.0,1.0
V1407229,2016-09,五金电气,2774.0,1.0
V1407229,2016-10,五金电气,5005.0,1.0
V1407233,2016-11,建材,10634.0,1.0
V1407234,2016-03,建材,425669.0,1.0
V1407235,2016-03,五金电气,34781.49,0.9961051037746413
V1407235,2016-03,建材,136.0,0.003894896225358696
V1407235,2017-04,五金电气,40061.47,0.9996979181455871
V1407235,2017-04,建材,12.1055,0.00030208185441301587
V1407245,2016-03,服务用品,18816.0,0.5824305082647186
V1407245,2016-03,食品饮料,13490.0,0.41756949173528135
V1407245,2016-12,服务用品,41510.4,1.0
V1407245,2017-03,食品饮料,63929.6,1.0
V1407248,2017-05,服务类,9660.0,0.8334771354616048
V1407248,2017-05,消防安防,1930.0,0.16652286453839515
V1407252,2017-06,服务类,31893.0,1.0
V1407252,2017-08,服务类,138560.0,1.0
V1407265,2016-12,五金电气,1520.0,0.013193528227206444
V1407265,2016-12,服务类,113688.0,0.9868064717727936
V1407265,2017-12,五金电气,3420.0,0.008998081987786814
V1407265,2017-12,服务类,376661.0,0.9910019180122132
V1407266,2018-01,五金电气,1140.0,0.006036025541918609
V1407266,2018-01,服务类,187726.0,0.9939639744580814
V1407267,2016-07,暖通系统,200.0,0.007297938332421091
V1407267,2016-07,服务类,27205.0,0.9927020616675789
V1407267,2016-08,五金电气,180.0,0.0036407766990291263
V1407267,2016-08,服务类,49260.0,0.9963592233009708
V1407267,2017-06,服务类,12010.0,1.0
V1407267,2017-10,服务类,62350.0,1.0
V1407269,2017-03,服务类,19400.0,1.0
V1407274,2016-02,服务类,16040.0,1.0
V1407274,2016-10,服务类,27716.0,1.0
V1407289,2017-05,VI,9776.0,0.29921645445641526
V1407289,2017-05,服务类,22896.0,0.7007835455435847
V1407289,2017-06,VI,33970.0,0.3723882396790248
V1407289,2017-06,五金电气,2240.0,0.0245554800377102
V1407289,2017-06,服务类,55012.0,0.603056280283265
V1407291,2017-12,服务类,8200.0,1.0
V1407292,2016-04,五金电气,50.0,0.020712510356255178
V1407292,2016-04,服务类,2364.0,0.9792874896437448
V1407307,2016-03,服务类,13463.0,0.884966804706501
V1407307,2016-03,运营电器,1750.0,0.11503319529349898
V1407307,2016-12,服务类,6101.0,0.7861100373663188
V1407307,2016-12,运营电器,1660.0,0.21388996263368124
V1407310,2017-05,五金电气,28.0,0.0035587188612099642
V1407310,2017-05,服务类,7840.0,0.99644128113879
V1407311,2016-07,服务类,35346.0,1.0
V1407311,2017-03,服务类,6340.0,1.0
V1407317,2016-09,服务类,25890.0,1.0
V1407317,2017-09,服务类,10938.0,1.0
V1407317,2018-01,服务类,8249.0,1.0
V1407318,2017-10,工程电器,1875.0,0.03398031859946719
V1407318,2017-10,建材,17391.0,0.31517425107377806
V1407318,2017-10,服务类,35913.0,0.6508454303267548
V1407318,2017-11,VI,140.0,0.0015121239941675217
V1407318,2017-11,工程电器,2175.0,0.023491926337959712
V1407318,2017-11,建材,19250.0,0.20791704919803425
V1407318,2017-11,服务类,71020.0,0.7670789004698385
V1407319,2016-04,服务类,14560.0,1.0
V1407319,2017-10,服务类,6520.5,1.0
V1407324,2016-12,服务类,7550.0,1.0
V1407325,2017-08,工程电器,180.0,0.0661764705882353
V1407325,2017-08,服务类,2540.0,0.9338235294117647
V1407337,2016-04,服务类,4000.0,0.7017543859649122
V1407337,2016-04,消防安防,1500.0,0.2631578947368421
V1407337,2016-04,门锁系统,200.0,0.03508771929824561
V1407337,2016-05,服务类,5305.0,0.5607822410147991
V1407337,2016-05,消防安防,4155.0,0.4392177589852008
V1407337,2017-08,服务类,8450.0,0.8492462311557789
V1407337,2017-08,消防安防,1500.0,0.1507537688442211
V1407342,2016-11,服务类,12800.0,1.0
V1407346,2016-12,VI,1950.0,0.24405506883604505
V1407346,2016-12,消防安防,6040.0,0.7559449311639549
V1407348,2016-06,服务类,4260.0,0.9171151776103337
V1407348,2016-06,消防安防,385.0,0.08288482238966631
V1407348,2017-04,五金电气,500.0,0.36231884057971014
V1407348,2017-04,服务类,880.0,0.6376811594202898
V1407348,2017-07,服务类,19543.0,1.0
