新系统供应商编码,_month,下单金额,prev3_mean,spike_ratio
V1606017,2017-05,236896.2,90.1,2629.2586015538295
V1407215,2016-02,337020.0,806.64,417.8072002380244
V1604005,2016-08,69017.29,206.17,334.7591308143765
V1407496,2016-03,346483.5,1065.0,325.33661971830986
V1709026,2017-10,288571.3,900.0,320.63477777777774
V1506125,2016-04,160196.38,899.7133333333333,178.05269085708784
V1407156,2016-03,2661.0,20.0,133.05
V1407265,2017-12,380081.0,2951.3333333333335,128.78281002936527
V1505025,2016-03,31190.4,273.6,114.0
V1408428,2016-10,4526.6,41.333333333332725,109.51451612903388
V1409100,2017-05,41583.0,425.0,97.84235294117647
V1509013,2016-07,18020.0,185.0,97.4054054054054
V1506107,2016-04,164588.0,1740.0,94.59080459770115
V1507002,2016-03,413515.0,4633.0,89.25426289661127
V1407730,2016-05,145852.0,1782.5,81.82440392706873
V1407852,2017-04,991590.1308,12385.666666666666,80.05948791344835
V1504060,2016-03,172052.2,2225.5,77.30945854864076
V1507301,2016-06,5683.6,74.9,75.88251001335114
V1506127,2016-03,786250.0,12950.0,60.714285714285715
V1407265,2016-12,115208.0,1900.0,60.63578947368421
V1408069,2016-06,639553.42,11418.5,56.01028331216885
V1608025,2016-09,16620.0,300.0,55.4
V1502007,2016-07,221591.5,4046.0,54.7680425111221
V1407788,2016-03,15950.0,300.0,53.166666666666664
V1507002,2016-09,1028767.0,19825.333333333332,51.89153608178089
V1612005,2017-01,3282.0,65.0,50.49230769230769
V1601005,2017-10,296668.5,6068.505,48.88658738849189
V1407188,2016-10,36638.17,750.0,48.85089333333333
V1610009,2017-03,32535.0,677.5,48.02214022140221
V1506124,2016-02,35625.0,750.0,47.5
V1407318,2017-10,55179.0,1201.3333333333333,45.93146503884573
V1407184,2016-12,29890.0,680.8833333333333,43.89885687709593
V1407266,2018-01,188866.0,4800.0,39.34708333333333
V1506135,2017-08,268705.97,7423.5,36.19666868727689
V1407292,2016-04,2414.0,68.0,35.5
V1407348,2017-07,19543.0,563.0,34.712255772646536
V1603005,2016-11,253000.0,7345.0,34.445200816882235
V1609012,2017-03,11210.5,334.5,33.51420029895366
V1506107,2016-09,22792.0,693.3333333333334,32.87307692307692
V1504061,2017-04,505890.0,15683.333333333334,32.25653560042508
V1408070,2016-03,169950.0,5500.0,30.9
V1509065,2016-04,36152.0,1187.5,30.44378947368421
V1701012,2017-04,847703.0,30383.0,27.900569397360368
V1603036,2016-08,598996.0,21879.57,27.37695484874703
V1507166,2017-10,1956.0,71.66666666666667,27.293023255813953
V1408393,2017-08,10791.0,413.3333333333333,26.10725806451613
V1506107,2017-04,106862.2,4129.99999999999,25.874624697336625
V1701003,2017-04,765658.14,30510.0,25.09531760078663
V1506102,2016-12,91872.6,3695.2000000000003,24.862686728729162
V1610001,2017-11,23273.72,940.68,24.741378577199477
V1601002,2016-11,151801.66,6263.2,24.237076893600715
V1609006,2017-08,486047.51,20562.504933333334,23.63756320428068
V1709018,2017-11,10146.35,432.0,23.4869212962963
V1601031,2016-09,88900.0,3888.8333333333335,22.860326576093943
V1506123,2016-04,161099.34,7058.7266666666665,22.82271967843114
V1604016,2016-09,159565.47,7048.1,22.639501425916205
V1507308,2016-04,8465.0,378.0,22.394179894179896
V1607021,2016-08,43235.01,1970.36,21.94269575103027
V1703010,2017-07,40944.0,1965.0,20.836641221374045
V1511029,2017-05,8000.889999999999,393.97333333333336,20.308201908758626
V1407317,2016-09,25890.0,1277.3333333333333,20.268789144050107
V1602012,2017-08,112669.2,6021.666666666667,18.71063382230833
V1407311,2016-07,35346.0,1899.3333333333333,18.60968760968761
V1501032,2017-06,43326.63,2356.6666666666665,18.384708628005658
V1505047,2016-12,204378.1,11305.333333333334,18.078025120886895
V1506001,2017-06,53760.0,2994.6666666666665,17.95191451469279
V1412004,2016-03,11420.4,640.0,17.844375
V1601034,2016-06,2131.0,120.0,17.758333333333333
V1506126,2016-12,285678.8,16203.200000000003,17.631011158289716
V1501032,2017-08,284093.93,16210.543333333333,17.525256504871418
V1407852,2016-09,67394.0,3864.0,17.441511387163562
V1407184,2017-09,123646.25,7237.786666666667,17.08343388586566
V1602010,2016-12,23118.0,1368.0,16.899122807017545
V1506127,2016-08,218300.0,12950.0,16.857142857142858
V1506106,2017-11,61460.0,3680.0,16.70108695652174
V1505026,2016-12,47724.86,2875.0,16.599951304347826
V1603023,2017-01,70660.0,4273.833333333333,16.533166946145148
V1411004,2016-09,115385.5,7238.333333333333,15.940893391664748
V1504057,2017-10,1920743.0,121568.66666666667,15.799655064627398
V1707009,2017-08,53302.2,3404.0,15.658695652173913
V1506128,2017-04,482106.2,31676.333333333332,15.21976028370287
V1601034,2016-08,16770.0,1107.0,15.149051490514905
V1407362,2016-02,6000.0,400.0,15.0
V1407788,2017-10,101420.0,6763.333333333333,14.995564317397733
V1705014,2017-08,34326.5,2300.0,14.924565217391304
V1505047,2017-05,132028.02,8870.226666666667,14.884402052108399
V1507295,2016-02,12643.74,863.52,14.64209282934964
V1509065,2016-08,29954.0,2066.6666666666665,14.493870967741936
V1604005,2017-04,580568.0666,40205.43089999998,14.440040900046673
V1504061,2016-04,305360.0,21995.0,13.883155262559672
V1609001,2016-10,4017.0,300.0,13.39
V1407611,2017-10,184741.75,14294.0,12.924426332727018
V1612023,2017-06,3120.52,243.6,12.810016420361249
V1606016,2016-08,118599.45,9260.85,12.806540436353034
V1703028,2017-12,70544.0,5620.0,12.552313167259786
V1506107,2017-09,261033.6,20821.333333333325,12.536834016393447
V1508017,2016-04,18681.624,1510.21,12.370216062666781
V1506136,2016-12,91728.2,7468.066666666667,12.282723775006472
V1505062,2017-12,4275.5,349.6746666666666,12.227079647367459
V1504027,2016-06,13977.0,1166.3333333333333,11.983709631323237
V1407413,2017-04,301848.685,25278.900000000012,11.940736543124892
V1408070,2016-04,1045400.0,87725.0,11.916785408948419
V1412040,2017-08,174506.0,14717.833333333334,11.856772396299274
V1512019,2017-12,1359575.8,114799.5,11.843046354731511
V1407248,2017-05,11590.0,1000.0,11.59
V1504044,2018-02,13596.0,1183.0833333333333,11.492005353243643
V1705014,2017-11,668897.94,58242.5,11.484705155170193
V1705011,2017-08,28845.0,2527.5,11.41246290801187
V1611007,2017-11,6840.0,600.0,11.4
V1601034,2016-12,21144.0,1876.3333333333333,11.268786640611122
V1512035,2016-02,26168.4,2322.6,11.266856109532421
V1407715,2016-02,12526.5,1127.0,11.114906832298137
V1411049,2016-04,8939.138,812.0,11.00879064039409
V1610009,2017-08,87663.83,8110.833333333333,10.808239597246482
V1407219,2016-03,16425.0,1530.0,10.735294117647058
V1501025,2016-05,370156.0,35005.0,10.57437508927296
V1609001,2016-11,22728.8,2158.5,10.52990502663887
V1506094,2016-05,3635.0,350.0,10.385714285714286
V1503053,2018-03,22675.0,2185.0,10.377574370709382
V1507263,2016-07,75073.13,7241.076666666667,10.367675064895966
V1409120,2016-04,8980.0,870.0,10.32183908045977
V1604033,2016-08,73044.9,7114.666666666667,10.266805659670164
V1608017,2017-12,27355.5,2665.8333333333335,10.261519224757736
V1607006,2016-09,186680.0,18260.0,10.22343921139102
V1509003,2016-03,433818.0,42504.0,10.206521739130435
V1408447,2016-02,6059.0,600.0,10.098333333333333
V1407369,2016-10,31545.6,3127.0,10.088135593220338
V1702003,2017-07,149874.3,14911.866666666669,10.050673289281912
V1408047,2017-04,279689.71,27922.90333333334,10.016498165006956
V1407823,2016-05,77109.0,7745.666666666667,9.955114687782416
V1604032,2016-11,94558.8,9506.633333333333,9.946612716033366
V1505075,2016-02,952.5,96.0,9.921875
V1407184,2016-03,1043989.82,105323.29999999999,9.912239931715016
V1506096,2016-09,13707.7,1398.9333333333334,9.798679946626
V1407450,2016-08,112913.5,11632.533333333333,9.706699028013388
