CUSTOMER_CODE,DELIVERY_CODE,total_amount,order_date,z
C0005000,LG1601017361,309020.0,2016-01-18,2.59789930750801
C0005000,LG1607014585,231000.0,2016-07-30,1.696723025427469
C0005000,LG1608036703,286410.564,2016-10-13,2.3367471994021667
C0005000,LG1608069903,503266.825,2016-12-01,4.841562875304082
C0005000,LG1612052342,248579.0,2017-01-18,1.8997706781151624
C0006300,LG1609025551,19930.0,2016-09-30,1.7274489376803275
C0006300,LG1610019311,25922.0,2016-10-19,2.5277364837761094
C0006300,LG1611013180,20805.0,2016-11-15,1.8443133573788937
C0006300,LG1611019200,24656.0,2016-11-15,2.358650363389384
C0006300,LG1611043433,26546.0,2016-11-28,2.6110775099382866
C0006300,LG1612015071,22254.0,2016-12-28,2.0378408363997194
C0006300,LG1612055408,19674.0,2016-12-28,1.693257747459947
C0006300,LG1701016355,20340.0,2017-01-17,1.7822082657676557
C0006300,LG1703013436,30390.0,2017-03-24,3.124479600591188
C0009000,LG1512057050,642995.64,2016-02-26,3.3756280292213403
C0009000,LG1602035563,594711.5,2016-04-25,3.0735535193509755
C0009000,LG1607060390,472971.83999999997,2016-10-27,2.311927690946765
C0009000,LG1608041913,582949.6,2016-11-23,2.9999688976171255
C0009000,LG1610046506,483960.19999999995,2017-02-24,2.3806729033763356
C0009000,LG1611054624,516787.39999999997,2017-03-23,2.5860459378844873
C0009000,LG1612050880,711951.92,2017-05-18,3.8070312701920535
C0011200,LG1601015909,300046.0,2016-02-16,2.780250879097381
C0011200,LG1601050090,256830.0,2016-02-16,2.2661281494386185
C0011200,LG1601112948,223220.0,2016-02-25,1.8662839957957318
C0011200,LG1604031932,228800.0,2016-04-20,1.9326669287718492
C0011200,LG1606044634,229550.0,2016-06-28,1.941589365999822
C0011200,LG1606054656,243250.0,2016-07-25,2.104572552697458
C0011200,LG1608060090,-88500.0,2016-08-30,-1.8421188478091675
C0011200,LG1612053492,209270.0,2017-01-18,1.7003266633554381
C0011200,LG1701023229,730340.0,2017-02-21,7.899279151861806
C0011200,LG1701028183,254780.0,2017-02-21,2.2417401543488262
C0011200,LG1701028186,202960.0,2017-02-21,1.6252592248107605
C0011200,LG1703021875,201000.0,2017-03-24,1.6019419221883249
C0013300,LG1512055690,358900.0,2016-01-26,1.788151406610426
C0013300,LG1601012350,367650.0,2016-01-26,1.8528023019478208
C0013300,LG1603008406,594200.0,2016-04-20,3.5267063406548793
C0013300,LG1603037176,394400.0,2016-04-25,2.0504493248364275
C0013300,LG1604033779,426550.0,2016-05-10,2.2879951859903973
C0013300,LG1606049751,386300.0,2016-07-09,1.990601067438382
C0013300,LG1607060374,612836.0,2016-08-13,3.664401664712901
C0013300,LG1703062408,391420.0,2017-05-22,2.028431077052949
C0014500,LG1511038620,5250.0,,1.7975464746884504
C0014500,LG1512041942,5250.0,,1.7975464746884504
C0014500,LG1512053343,4900.0,,1.612239212248873
C0014500,LG1602004651,5250.0,,1.7975464746884504
C0014500,LG1602021320,5250.0,,1.7975464746884504
C0014500,LG1603037468,5320.0,,1.834607927176366
C0014500,LG1603053507,7700.0,,3.094697311765494
C0014500,LG1603054093,11830.0,,5.281323008552509
C0014500,LG1603062952,8400.0,,3.465311836644649
C0014500,LG1603068034,5040.0,,1.6863621172247039
C0014500,LG1603069196,6524.0,,2.472064909968513
C0014500,LG1604012263,5250.0,,1.7975464746884504
C0014500,LG1604029078,7560.0,,3.0205744067896627
C0014500,LG1604054837,10640.0,,4.651278316257946
C0014500,LG1605012804,5824.0,,2.1014503850893576
C0014500,LG1605015218,5460.0,,1.908730832152197
C0014500,LG1605017200,24360.0,,11.91532300388939
C0014500,LG1605034703,6300.0,,2.3534682620071834
C0014500,LG1605046931,5040.0,,1.6863621172247039
C0014500,LG1605055510,5530.0,,1.9457922846401126
C0014500,LG1606011468,5250.0,,1.7975464746884504
C0014500,LG1606022103,5250.0,,1.7975464746884504
C0014500,LG1607020431,-3325.0,,-2.7424814550812013
C0014500,LG1607021285,5950.0,,2.168160999567606
C0014500,LG1608000273,6300.0,,2.3534682620071834
C0014500,LG1608000306,6125.0,,2.2608146307873946
C0014500,LG1608003325,5040.0,,1.6863621172247039
C0014500,LG1608012486,42000.0,,21.2548090308441
C0014500,LG1608028100,5250.0,,1.7975464746884504
C0014500,LG1609006664,7488.0,,2.982454055659235
C0014500,LG1609009915,5600.0,,1.9828537371280281
C0014500,LG1609016231,8554.0,,3.546847032118063
C0014500,LG1609035406,5250.0,,1.7975464746884504
C0014500,LG1609056158,5040.0,,1.6863621172247039
C0014500,LG1611014490,12600.0,,5.6889989859195795
C0014500,LG1611026575,5600.0,,1.9828537371280281
C0014500,LG1611032352,6300.0,,2.3534682620071834
C0014500,LG1611032353,6930.0,,2.687021334398423
C0014500,LG1611046857,11676.0,,5.199787813079095
C0014500,LG1612021476,6090.0,,2.2422839045434366
C0014500,LG1612040442,9450.0,,4.021233623963382
C0014500,LG1612055429,6160.0,,2.279345357031352
C0014500,LG1701013722,5810.0,,2.0940380945917747
C0014500,LG1701019874,5740.0,,2.056976642103859
C0014500,LG1701036261,5460.0,,1.908730832152197
C0014500,LG1702003558,5600.0,,1.9828537371280281
C0014500,LG1702003559,5740.0,,2.056976642103859
C0014500,LG1702007562,6090.0,,2.2422839045434366
C0014500,LG1702013299,5600.0,,1.9828537371280281
C0014500,LG1702024705,6160.0,,2.279345357031352
C0014500,LG1703002939,19600.0,,9.395144234711132
C0014500,LG1703041038,20790.0,,10.025188927005697
C0014500,LG1703051713,4851.0,,1.586296195507332
C0014500,LG1703057683,16380.0,,7.690317420267018
C0014500,LG1704012740,5838.0,,2.108862675586941
C0014500,LG1704012741,5838.0,,2.108862675586941
C0014500,LG1704027811,5460.0,,1.908730832152197
C0014500,LG1705005840,5880.0,,2.1310995470796903
C0014500,LG1705021501,5600.0,,1.9828537371280281
C0016800,LG1603029799,602700.0,,6.936323823440126
C0016800,LG1603029804,413000.0,2017-01-17,4.442175051007998
C0016800,LG1606039362,504570.0,,5.646124461085014
C0016800,LG1608047934,253750.0,2017-03-10,2.34837857230575
C0016800,LG1701006963,269100.0,,2.5501982014930626
C0016800,LG1702031497,273678.0,,2.610389098067624
C0016800,LG1703009223,254850.0,,2.362841216742626
C0018600,LG1601028044,178550.0,2016-07-06,1.4479278940195603
C0018600,LG1601028046,316100.0,2016-07-06,2.9955153425701764
C0018600,LG1601028048,147000.0,2016-07-06,1.0929560001498988
