CUSTOMER_CODE,DELIVERY_CODE,total_amount,order_date,z
C0005000,LG1608069903,503266.825,2016-12-01,4.841562875304082
C0006300,LG1703013436,30390.0,2017-03-24,3.124479600591188
C0009000,LG1512057050,642995.64,2016-02-26,3.3756280292213403
C0009000,LG1602035563,594711.5,2016-04-25,3.0735535193509755
C0009000,LG1612050880,711951.92,2017-05-18,3.8070312701920535
C0011200,LG1701023229,730340.0,2017-02-21,7.899279151861806
C0013300,LG1603008406,594200.0,2016-04-20,3.5267063406548793
C0013300,LG1607060374,612836.0,2016-08-13,3.664401664712901
C0014500,LG1603053507,7700.0,,3.094697311765494
C0014500,LG1603054093,11830.0,,5.281323008552509
C0014500,LG1603062952,8400.0,,3.465311836644649
C0014500,LG1604029078,7560.0,,3.0205744067896627
C0014500,LG1604054837,10640.0,,4.651278316257946
C0014500,LG1605017200,24360.0,,11.91532300388939
C0014500,LG1608012486,42000.0,,21.2548090308441
C0014500,LG1609016231,8554.0,,3.546847032118063
C0014500,LG1611014490,12600.0,,5.6889989859195795
C0014500,LG1611046857,11676.0,,5.199787813079095
C0014500,LG1612040442,9450.0,,4.021233623963382
C0014500,LG1703002939,19600.0,,9.395144234711132
C0014500,LG1703041038,20790.0,,10.025188927005697
C0014500,LG1703057683,16380.0,,7.690317420267018
C0016800,LG1603029799,602700.0,,6.936323823440126
C0016800,LG1603029804,413000.0,2017-01-17,4.442175051007998
C0016800,LG1606039362,504570.0,,5.646124461085014
C0018600,LG1603072328,682580.0,2016-07-06,7.118814856527499
C0018600,LG1606049301,318230.0,2016-09-23,3.0194801645651803
C0018600,LG1609050688,385772.855,2016-11-01,3.7794109143817867
C0021600,LG1612040035,148942.0,2017-01-18,4.0807602291751675
C0026900,LG1604023063,398100.0,2016-05-16,6.176157294107466
C0026900,LG1604023069,498150.0,2016-05-16,7.973418078171109
C0026900,LG1610020430,260000.0,2017-01-12,3.6953805396927835
C0026900,LG1703052645,310000.0,,4.593561841073914
C0031700,LG1607057591,410620.0,2016-08-25,3.9650187735491045
C0031700,LG1705017562,-195072.0,,-3.3014357734957036
C0037700,LG1702032780,494666.0,2017-04-28,4.752049883238072
C0040200,LG1603027985,360210.0,2016-07-12,5.068177783512425
C0041900,LG1603030255,549900.0,2016-07-06,5.611217400342621
C0044300,LG1606048864,400700.0,2016-07-09,3.8244191057504766
C0044300,LG1607040526,354900.0,2016-10-26,3.267581174203771
C0044300,LG1608065191,334915.0,2017-02-25,3.0246028759076813
C0044300,LG1608065539,356705.0,2016-12-01,3.2895264245627622
C0044300,LG1703021830,363465.0,2017-04-05,3.371714730616381
C0044900,LG1603024680,381450.0,2016-04-28,4.690548520327047
C0044900,LG1603064891,340100.0,2016-07-27,4.074946861976364
C0044900,LG1606044755,270300.0,2016-07-25,3.0357933975778693
C0044900,LG1608036365,345150.0,2016-09-23,4.150129168498031
C0044900,LG1612051502,292280.0,2017-03-01,3.363022525765246
C0044900,LG1612051503,327870.0,2017-03-01,3.892871691924879
C00473000,LG1704033287,350385.0,,4.002371916555633
C00526000,LG1606049726,312500.0,2016-08-29,3.1045439034404336
C00545000,LG1705008005,398738.0,,6.459306249208897
C00548000,LG1704045764,235490.0,,3.0593879076097585
C00559000,LG1703018709,138560.0,2017-04-20,3.8322349800058055
C00565000,LG1601026501,373480.0,2016-02-29,4.525409720438911
C00604000,LG1601023837,378360.0,2016-04-29,4.032271945726769
C00604000,LG1601051957,399600.0,2016-04-29,4.310131296915051
C00612000,LG1601026451,111650.0,2016-03-26,3.4268032063475267
C00616000,LG1703020902,272740.0,2017-03-28,3.3999714753062906
C00629000,LG1601011629,764900.0,2016-03-30,4.33894578555581
C00629000,LG1601011642,663600.0,2016-03-30,3.662142537531955
C00630000,LG1605051824,246100.0,2016-08-31,3.3593480580012636
C00636000,LG1601035429,220000.0,2016-02-18,3.17310692764341
C00650000,LG1702037768,116945.0,,3.3322539600488343
C00656000,LG1611027406,206724.0,2017-03-29,4.809195191887905
C00656000,LG1704043541,172000.0,,3.8417574052121157
C00669000,LG1512064903,480000.0,2016-01-26,3.3453243640190484
C00669000,LG1602039649,558000.0,2016-03-24,3.990428758179462
C00669000,LG1603028070,583500.0,2016-06-10,4.201328271654982
C00669000,LG1603037864,507700.0,2016-05-03,3.5744191296375543
C00692000,LG1601026526,237046.5,2016-07-04,3.5052272389311616
C00692000,LG1703041835,243500.0,2017-04-02,3.6285434628860704
C00699000,LG1603005099,220950.0,2016-04-28,3.563435972736985
C00699000,LG1603025540,220560.0,2016-04-28,3.555959762504712
C00699000,LG1606044538,313750.0,2016-07-07,5.342390612621434
C00707000,LG1601007265,525000.0,2016-04-08,49.77574853805247
C00707000,LG1601018741,39900.0,2016-07-19,3.507430537743878
C00707000,LG1601028221,40000.0,2016-04-27,3.5169684305495488
C00707000,LG1601028391,35100.0,,3.0496116830716846
C00707000,LG1601032923,49400.0,2016-03-07,4.413530354282595
C00707000,LG1601042213,41250.0,2016-03-08,3.6361920906204324
C00707000,LG1601042325,37500.0,2016-07-19,3.278521110407781
C00707000,LG1601042482,105000.0,2016-03-06,9.716598754235507
C00707000,LG1601042483,72500.0,2016-03-06,6.616783592392529
C00707000,LG1601043269,116000.0,2016-03-23,10.765766962859285
C00707000,LG1601043270,80600.0,2016-03-23,7.389352909651856
C00707000,LG1601043368,81000.0,2016-03-23,7.427504480874538
C00707000,LG1601043369,126000.0,2016-03-23,11.719556243426355
C00707000,LG1601043370,60000.0,2016-03-23,5.42454699168369
C00707000,LG1601043372,140000.0,2016-03-08,13.054861236220253
