Transaction_ID,Trans_Date,Trans_Start_Time,SUM_TRANS,Discount_applied,Discount_Rate,Member_Ref,Vol_of_prod,Vol_of_distinct_prod,ORIG_Transaction_ID,Cash_related,Non_Cash_related,Gift_Certificate_related,Operator,Staff_Login,TRANSACTION_TYPE_KNOWN,in training,selling,IGNORE selling,Transaction suspended,Transaction obsolete,reprint the receipt,goods returned,Gift_Welcome,Gift_VIP,Gift_Member,Gift_General,Gift_Valentine,Gift_Autumn,Gift_Summer,Gift_Christmas,Gift_Chocolate_ornament,Gift_NewYear,Gift_Spring,Gift_FLAG,Open_cashbox_withkey,cash / bills into till,Bulk Adjustments,Order,transfer confirm,inter-store transfer,Z report,goods scrapped,GOODS SCRAPPED_REASON,electricity loss,none business,Clock in,Clock out,Register start up,Register shut down,Turn on training mode,Turn off training mode,Store reshipment,Read Cash Register Accounts,Transaction recovered
1039,2014-04-20,16:39:08.0000000,,0,,,,,1039,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,2014-04-20,16:39:47.0000000,,0,,,,,1040,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,2014-04-20,16:40:33.0000000,,0,,,,,1041,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7636,2014-03-05,12:28:52.0000000,,0,,,,,7636,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8597,2014-03-18,17:25:07.0000000,,0,,,,,8597,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8609,2014-03-18,20:41:34.0000000,,0,,,,,8609,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8610,2014-03-18,20:45:13.0000000,,0,,,,,8610,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8611,2014-03-18,20:47:09.0000000,,0,,,,,8611,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8613,2014-03-18,20:50:46.0000000,,0,,,,,8613,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
8642,2014-03-19,19:40:31.0000000,,0,,,,,8642,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8644,2014-03-19,19:56:08.0000000,,0,,,,,8644,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8857,2014-03-22,17:47:00.0000000,,0,,,,,8857,0,0,0,操作员编号          701 W Operator 2   收银机编号    1,701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
