EmployeeID,Vendor,TxnDate,ExpenseType,Txn_Amt,count
152021006,北京XXXX公司,2016-10-29,HCP Car Service,600.0,21
200000903,北京XXXX公司,2017-03-20,HCP Car Service,400.0,14
152023287,中国XXXX铁路,2017-04-08,HCP Train,128.5,12
200001112,沈阳XXXX租车,2016-11-19,HCP Taxi,120.0,12
152022271,北汽XXXX集团,2016-11-18,HCP Taxi,300.0,12
152025446,中国XXXX铁路,2016-12-10,HCP Train,244.5,11
200000127,中国XXXX铁路,2017-03-04,HCP Train,86.5,10
200000496,重庆XXXX公司,2016-11-12,HCP Car Service,150.0,10
85419611,支付XXXX素杰,2016-12-27,Meeting-Related Expense,100.0,10
152008057,中国XXXX铁路,2016-10-23,HCP Train,128.5,9
152018710,中国XXXX铁路,2016-10-19,HCP Train,343.0,9
152008057,中国XXXX铁路,2016-10-22,HCP Train,128.5,9
152018710,中国XXXX铁路,2016-10-20,HCP Train,335.5,8
152031010,北京XXXX租车,2017-04-26,HCP Taxi,200.0,8
152015281,北京XXXX汽车,2016-11-13,HCP Taxi,200.0,8
200001272,神州XXXX公司,2016-12-23,HCP Taxi,200.0,8
200001112,沈阳XXXX租车,2016-12-03,HCP Taxi,150.0,8
152018813,兰州XXXX租车,2017-01-07,HCP Taxi,100.0,8
152033891,辽宁XXXX公司,2016-11-19,HCP Taxi,120.0,8
85454327,中国XXXX铁路,2016-12-10,HCP Train,39.0,7
200002161,出租XXXX租车,2016-12-09,HCP Car Service,230.0,7
152017900,哈尔XXXX路局,2016-11-17,HCP Train,247.0,7
152016236,中国XXXX高铁,2017-03-05,HCP Train,241.5,7
152017900,沈阳XXXX路局,2016-11-18,HCP Train,247.0,7
152021006,中国XXXX铁路,2016-12-15,HCP Train,220.0,7
200001690,12XXXX06,2016-11-26,HCP Train,254.5,7
152025446,中国XXXX铁路,2016-12-09,HCP Train,244.5,7
152021252,中国XXXX道路,2016-10-22,HCP Car Service,66.0,7
85452928,中国XXXX铁路,2016-10-12,HCP Train,113.5,7
152022271,北汽XXXX集团,2016-12-08,HCP Taxi,300.0,7
200001046,出租XXXX租车,2016-12-16,HCP Car Service,400.0,7
152012272,中国XXXX铁路,2016-11-05,HCP Train,177.5,6
200000094,无锡XXXX租赁,2016-11-24,HCP Car Service,300.0,6
200001605,陕西XXXX公司,2016-10-16,HCP Taxi,90.5,6
152031010,北京XXXX租车,2017-01-08,HCP Taxi,150.0,6
200001356,中国XXXX铁路,2016-11-18,HCP Train,173.5,6
152031010,北京XXXX租车,2017-04-08,HCP Taxi,200.0,6
152012272,中国XXXX铁路,2016-11-06,HCP Train,177.5,6
200002343,铁道XXXX道部,2016-12-08,HCP Train,414.0,6
152039671,铁道XXXX票务,2016-12-17,HCP Train,985.0,6
200001356,中国XXXX铁路,2016-11-17,HCP Train,173.5,6
200001605,陕西XXXX公司,2016-10-15,HCP Taxi,90.5,6
152009011,火车XXXX火车,2017-03-26,HCP Train,73.0,6
200001993,中国XXXX铁路,2017-02-25,HCP Train,79.5,6
85383020,中国XXXX铁路,2017-04-07,HCP Train,128.5,6
152008057,中国XXXX铁路,2016-10-22,HCP Train,55.5,6
200001965,出租XXXX租车,2016-11-19,HCP Taxi,105.0,6
152031010,北京XXXX租车,2016-11-26,HCP Taxi,150.0,6
152011497,中国XXXX总局,2016-11-12,HCP Train,254.5,6
200002343,铁道XXXX道部,2016-12-07,HCP Train,414.0,6
200002205,中国XXXX铁路,2017-04-08,HCP Train,128.5,6
152023287,中国XXXX铁路,2017-04-07,HCP Train,128.5,6
200002161,出租XXXX租车,2016-12-09,HCP Car Service,200.0,6
85439148,中国XXXX公司,2016-10-21,HCP Train,168.0,6
152008057,中国XXXX铁路,2016-10-23,HCP Train,55.5,6
152016236,中国XXXX高铁,2017-03-04,HCP Train,241.5,6
200000903,北京XXXX公司,2017-03-07,HCP Car Service,400.0,6
200001300,中国XXXX铁路,2016-10-22,HCP Train,933.0,6
152017444,中国XXXX高铁,2016-12-18,HCP Train,390.5,6
152020616,中国XXXX铁路,2017-04-24,HCP Train,219.5,6
200000496,重庆XXXX公司,2016-10-28,HCP Car Service,150.0,6
152013454,中国XXXX铁路,2016-12-17,HCP Train,116.5,6
152018722,支付XXXX路总,2016-11-08,HCP Train,178.5,6
152016764,铁道XXXX票务,2016-11-10,HCP Train,220.5,6
200001388,中国XXXX铁路,2017-01-07,HCP Train,314.5,6
152017444,中国XXXX高铁,2016-12-17,HCP Train,390.5,6
85390503,中国XXXX铁路,2016-12-04,HCP Train,178.0,6
152023467,中国XXXX公司,2016-12-31,HCP Train,234.0,6
152023287,中国XXXX铁路,2017-02-18,HCP Train,206.5,6
85439148,中国XXXX公司,2016-10-22,HCP Train,168.0,6
200000769,高铁XXXX公司,2016-10-21,HCP Train,246.5,6
200001046,出租XXXX租车,2016-12-23,HCP Car Service,400.0,6
152017900,长春XXXX路局,2016-11-17,HCP Train,144.5,5
152018722,支付XXXX程西,2017-01-04,HCP Train,159.5,5
152016091,中国XXXX铁路,2017-01-06,HCP Train,279.0,5
200001267,支付XXXX网购,2016-12-14,HCP Train,-20.0,5
152019017,火车XXXX车票,2016-12-03,HCP Train,173.5,5
152023467,中国XXXX公司,2016-12-30,HCP Train,138.0,5
152022202,中国XXXX铁路,2016-12-17,HCP Train,39.5,5
152018722,支付XXXX程西,2017-01-07,HCP Train,159.5,5
152008057,中国XXXX铁路,2016-10-23,HCP Train,206.5,5
200001258,北京XXXX租车,2017-03-29,HCP Taxi,150.0,5
200001568,铁道XXXX票务,2016-12-07,HCP Train,480.0,5
200000921,中国XXXX铁路,2016-11-12,HCP Train,158.5,5
152020616,上海XXXX公司,2017-03-19,HCP Car Service,800.0,5
200001655,中国XXXX铁路,2016-12-10,HCP Train,129.5,5
200001499,中国XXXX铁路,2016-10-28,HCP Train,154.0,5
200002232,中国XXXX路局,2016-11-19,HCP Train,120.0,5
152044448,北京XXXX公司,2017-03-01,HCP Car Service,1400.0,5
152008348,山西XXXX运输,2017-03-18,HCP Car Service,200.0,5
200001690,神州XXXX专车,2016-12-01,HCP Car Service,200.0,5
200002148,中国XXXX铁路,2016-11-13,HCP Train,164.5,5
152028299,火车XXXX火车,2016-12-16,HCP Train,392.0,5
200001639,广州XXXX公司,2016-11-06,HCP Taxi,300.0,5
