EmployeeID,Vendor,start,end,count
152030074,广州XXXX的士,2016-12-11,2016-12-18,63
152030074,广州XXXX的士,2016-12-11,2016-12-18,62
152030074,广州XXXX的士,2016-12-11,2016-12-18,61
152030074,广州XXXX的士,2016-12-11,2016-12-18,60
152030074,广州XXXX的士,2016-12-11,2016-12-18,59
152030074,广州XXXX的士,2016-12-11,2016-12-18,58
152035033,北京XXXX公司,2016-11-06,2016-11-08,58
152035033,北京XXXX公司,2016-11-06,2016-11-08,57
152030074,广州XXXX的士,2016-12-11,2016-12-18,57
152030074,广州XXXX的士,2016-12-11,2016-12-18,56
152035033,北京XXXX公司,2016-11-06,2016-11-08,56
152035033,北京XXXX公司,2016-11-06,2016-11-08,55
152030074,广州XXXX的士,2016-12-11,2016-12-18,55
152030074,广州XXXX的士,2016-12-10,2016-12-17,55
152030074,广州XXXX的士,2016-12-10,2016-12-17,54
152035033,北京XXXX公司,2016-11-06,2016-11-08,54
152030074,广州XXXX的士,2016-12-11,2016-12-18,54
152035033,北京XXXX公司,2016-11-06,2016-11-08,53
152030074,广州XXXX的士,2016-12-10,2016-12-17,53
152030074,广州XXXX的士,2016-12-16,2016-12-18,53
152030074,广州XXXX的士,2016-12-10,2016-12-17,52
152008057,中国XXXX铁路,2016-10-16,2016-10-23,52
152030074,广州XXXX的士,2016-12-16,2016-12-18,52
152035033,北京XXXX公司,2016-11-06,2016-11-08,52
152035033,北京XXXX公司,2016-11-06,2016-11-08,51
152030074,广州XXXX的士,2016-12-10,2016-12-17,51
152008057,中国XXXX铁路,2016-10-16,2016-10-23,51
152030074,广州XXXX的士,2016-12-16,2016-12-18,51
152008057,中国XXXX铁路,2016-10-16,2016-10-23,50
152030074,广州XXXX的士,2016-12-16,2016-12-18,50
152030074,广州XXXX的士,2016-12-10,2016-12-17,50
152035033,北京XXXX公司,2016-11-06,2016-11-08,50
152030074,广州XXXX的士,2016-12-10,2016-12-17,49
152030074,广州XXXX的士,2016-12-16,2016-12-18,49
152008057,中国XXXX铁路,2016-10-16,2016-10-23,49
152035033,北京XXXX公司,2016-11-06,2016-11-08,49
152035033,北京XXXX公司,2016-11-06,2016-11-08,48
152030074,广州XXXX的士,2016-12-10,2016-12-17,48
152008057,中国XXXX铁路,2016-10-16,2016-10-23,48
152030074,广州XXXX的士,2016-12-16,2016-12-18,48
152035033,北京XXXX公司,2016-11-06,2016-11-08,47
152030074,广州XXXX的士,2016-12-16,2016-12-18,47
152008057,中国XXXX铁路,2016-10-16,2016-10-23,47
152030074,广州XXXX的士,2016-12-10,2016-12-17,47
152035033,北京XXXX公司,2016-11-06,2016-11-08,46
152008057,中国XXXX铁路,2016-10-16,2016-10-23,46
